id,banco,fecha_operacion,descripcion,referencia,monto,saldo_operacion,etiqueta,
1,BBVA,01/12/2024,T20 SPEI RECIBIDOBANORTE,,4060,,Deposito,X
2,BBVA,02/12/2024,Z3 CARGO COBRANZA FACILEASIN,,12079.2,,Retiro,
3,BBVA,02/12/2024,T20 SPEI RECIBIDOSCOTIABANK,,3250,,Deposito,
4,BBVA,02/12/2024,W02 DEPOSITO DE TERCERO,,19720,,Deposito,
5,BBVA,02/12/2024,W02 DEPOSITO DE TERCERO,,19256,,Deposito,
6,BBVA,02/12/2024,P14 TELCEL,,449,,Retiro,
7,BBVA,03/12/2024,N03 TRASPASO CUENTAS PROPIAS,,77821.6,,Retiro,
8,BBVA,03/12/2024,T20 SPEI RECIBIDOSANTANDER,,5800,,Deposito,
9,BBVA,03/12/2024,W02 DEPOSITO DE TERCERO,,71050,,Deposito,
10,BBVA,03/12/2024,N06 PAGO CUENTA DE TERCERO,,7960,,Deposito,
11,BBVA,04/12/2024,T09 TEF RECIBIDO BANORTE,,12180,,Deposito,
12,BBVA,04/12/2024,N06 PAGO CUENTA DE TERCERO,,27550,,Deposito,
13,BBVA,04/12/2024,N06 PAGO CUENTA DE TERCERO,,13920,,Deposito,
14,BBVA,04/12/2024,T20 SPEI RECIBIDOSANTANDER,,81200,,Deposito,
15,BBVA,05/12/2024,W02 DEPOSITO DE TERCERO,,10440,,Deposito,
16,BBVA,05/12/2024,T20 SPEI RECIBIDOSANTANDER,,40000,,Deposito,
17,BBVA,05/12/2024,P14 AMERICAN EXPRESS,,31057.4,,Retiro,
18,BBVA,05/12/2024,N03 TRASPASO CUENTAS PROPIAS,,10292.2,,Retiro,
19,BBVA,05/12/2024,BT2 TRANSFER BBVA 01028855 L,,35650.8,,Deposito,
20,BBVA,06/12/2024,N03 TRASPASO CUENTAS PROPIAS,,12852.8,,Retiro,
21,BBVA,06/12/2024,T17 SPEI ENVIADO BANORTE,,18096,,Retiro,
22,BBVA,06/12/2024,T17 SPEI ENVIADO BANORTE,,38604.8,,Retiro,
23,BBVA,06/12/2024,N03 TRASPASO CUENTAS PROPIAS,,11000,,Retiro,
24,BBVA,06/12/2024,W02 DEPOSITO DE TERCERO,,27376,,Deposito,
25,BBVA,06/12/2024,W02 DEPOSITO DE TERCERO,,27840,,Deposito,
26,BBVA,08/12/2024,W02 DEPOSITO DE TERCERO,,5104,,Deposito,
27,BBVA,09/12/2024,W02 DEPOSITO DE TERCERO,,11600,,Deposito,
28,BBVA,09/12/2024,N06 PAGO CUENTA DE TERCERO,,15000,,Retiro,
29,BBVA,10/12/2024,N03 TRASPASO CUENTAS PROPIAS,,83520,,Deposito,
