fecha,referencia,deposito,retiro,descripcion,saldo_operacion
01/06/2024,,765.6,0.0,"COMPRA ORDEN DE PAGO SPEI 0240601 =REFERENCIA CTA/CLABE: 127650013858001267, BXI",5811.21
03/06/2024,,4191.0,0.0,LA ZARZA 07245990C,10002.21
03/06/2024,,0.0,86.76,COMISION 07245990C,9915.45
03/06/2024,,0.0,13.89,IVA COMISION 07245990C,9901.56
03/06/2024,,12508.0,0.0,LA ZARZA 07245990D,22409.56
03/06/2024,,0.0,191.37,COMISION 07245990D,22218.19
03/06/2024,,0.0,30.61,IVA COMISION 07245990D,22187.58
03/06/2024,,0.0,3000.0,PAGO EFECTIVO,19187.58
03/06/2024,,1752.41,0.0,"COMPRA ORDEN DE PAGO SPEI 0240603 =REFERENCIA CTA/CLABE: 646650146400693905, BXI",17435.17
04/06/2024,,740.08,0.0,1552024CARGO DOMICILIACION CGO DOMICILIACION:ADT PRIVATE SECURITY SERVICE LEYENDA:,16695.09
04/06/2024,,205.06,0.0,DROPBOX*WSSTB3BMWK13 MONEDA ORIGEN: 11.99 USD USD : 11.99 TIPO CAMBIO : 17.1027,16490.03
04/06/2024,,2950.0,0.0,LA ZARZA 07245990C,19440.03
04/06/2024,,61.07,0.0,COMISION 07245990C,19378.96
04/06/2024,,0.0,9.77,IVA COMISION 07245990C,19369.19
04/06/2024,,3990.0,0.0,LA ZARZA 07245990D,23359.19
04/06/2024,,61.03,0.0,COMISION 07245990D,23298.16
04/06/2024,,0.0,9.78,IVA COMISION 07245990D,23288.38
04/06/2024,,7360.0,0.0,"Deposito en efectivo en cajero Banorte. Te depositaron $7,360.00 MXN a la tarjeta **4761 de",30648.38
04/06/2024,,5270.0,0.0,"Deposito en efectivo en cajero Banorte. Te depositaron $5,270.00 MXN a la tarjeta **4761 de",35918.38
04/06/2024,,9740.0,0.0,"Deposito en efectivo en cajero Banorte. Te depositaron $9,740.00 MXN a la tarjeta **4761 de",45658.38
04/06/2024,,6360.0,0.0,"Deposito en efectivo en cajero Banorte. Te depositaron $6,360.00 MXN a la tarjeta **4761 de",52018.38
04/06/2024,,35480.0,0.0,"TRASP FONDOS 0000240604 AL R.F.C. OITM7407291J5 , A LA CUENTA: 0421693908 IVA: . 0",16538.38
05/06/2024,,6538.0,0.0,CFE CONTIGO MU RFC:CSS 160330CP7,10000.38
05/06/2024,,902.0,0.0,LA ZARZA 07245990C,10902.38
05/06/2024,,18.67,0.0,COMISION 07245990C,10883.71
05/06/2024,,0.0,2.99,IVA COMISION 07245990C,10880.72
05/06/2024,,1789.0,0.0,LA ZARZA 07245990D,12669.72
05/06/2024,,0.0,27.37,COMISION 07245990D,12642.35
05/06/2024,,0.0,4.39,IVA COMISION 07245990D,12637.96
05/06/2024,,248.93,0.0,"COMPRA ORDEN DE PAGO SPEI 0240605 =REFERENCIA CTA/CLABE: 646650146400693905, BXI",12389.03
05/06/2024,,250.0,0.0,RENTA MENSUAL 07245990,12139.03
05/06/2024,,0.0,40.0,I.V.A. COMISION 07245990,12099.03
06/06/2024,,743.0,0.0,LA ZARZA 07245990C,12842.03
06/06/2024,,15.38,0.0,COMISION 07245990C,12826.65
06/06/2024,,0.0,2.46,IVA COMISION 07245990C,12824.19
06/06/2024,,1302.0,0.0,LA ZARZA 07245990D,14126.19
06/06/2024,,0.0,19.93,COMISION 07245990D,14106.26
06/06/2024,,0.0,3.19,IVA COMISION 07245990D,14103.07
06/06/2024,,3480.0,0.0,"COMPRA ORDEN DE PAGO SPEI 0240606 =REFERENCIA CTA/CLABE: 012650001152113790, BXI",10623.07
07/06/2024,,609.0,0.0,LA ZARZA 07245990C,11232.07
07/06/2024,,0.0,12.61,COMISION 07245990C,11219.46
07/06/2024,,0.0,2.01,IVA COMISION 07245990C,11217.45
07/06/2024,,1554.0,0.0,LA ZARZA 07245990D,12771.45
07/06/2024,,0.0,23.78,COMISION 07245990D,12747.67
07/06/2024,,0.0,3.81,IVA COMISION 07245990D,12743.86
07/06/2024,,4754.0,0.0,DEP.EFECTIVO,17497.86
07/06/2024,,4500.0,0.0,DEP.EFECTIVO,21997.86
07/06/2024,,4700.0,0.0,DEP.EFECTIVO,26697.86
07/06/2024,,0.0,45000.0,"TRASPASO 0000240607 , DE LA CUENTA: 0421693908",71697.86
07/06/2024,,6846.0,0.0,"2024060740014BMOV0000442868870 SPEI RECIBIDO, BCO:0014 SANTANDER HR LIQ: 14:21:56",78543.86
07/06/2024,,60129.89,0.0,"COMPRA ORDEN DE PAGO SPEI 0240607 =REFERENCIA CTA/CLABE: 014650655044189671, BXI",18413.97
07/06/2024,,4256.06,0.0,"COMPRA ORDEN DE PAGO SPEI 0240607 =REFERENCIA CTA/CLABE: 014650655044189671, BXI",14157.91
07/06/2024,,210.0,0.0,"COMPRA ORDEN DE PAGO SPEI 0240607 =REFERENCIA CTA/CLABE: 014650655044189671, BXI",13947.91
08/06/2024,,869.64,0.0,ABONO POR IF 0421693908,14817.55
08/06/2024,,0.0,7470.55,0000185CARGO DOMICILIACION CGO DOMICILIACION:GRUPO NACIONAL PROVINCIAL S LEYENDA:,7347.0
08/06/2024,,140.0,0.0,ABONO POR IF 0421693908,7487.0
08/06/2024,,140.0,0.0,MEMBRESIA ENLACE GLOBAL,7347.0
08/06/2024,,22.4,0.0,ABONO POR IF 0421693908,7369.4
08/06/2024,,22.4,0.0,IVA MEMBRESIA ENLACE GLOBAL,7347.0
08/06/2024,,532.44,0.0,ABONO POR CL 0421693908,7879.44
